,visual acuity,side,year,age,gender,n
178,"[0.0, 0.15)",left,2013,"[85.0, inf)",male,1290
179,"[0.0, 0.15)",left,2013,"[85.0, inf)",female,3977
180,"[0.0, 0.15)",left,2012,"[0.0, 20.0)",male,85
181,"[0.0, 0.15)",left,2012,"[0.0, 20.0)",female,133
182,"[0.0, 0.15)",left,2012,"[20.0, 25.0)",male,711
183,"[0.0, 0.15)",left,2012,"[20.0, 25.0)",female,1955
184,"[0.0, 0.15)",left,2012,"[25.0, 30.0)",male,2294
185,"[0.0, 0.15)",left,2012,"[25.0, 30.0)",female,3813
186,"[0.0, 0.15)",left,2012,"[30.0, 35.0)",male,3362
187,"[0.0, 0.15)",left,2012,"[30.0, 35.0)",female,3242
188,"[0.0, 0.15)",left,2012,"[35.0, 40.0)",male,3072
189,"[0.0, 0.15)",left,2012,"[35.0, 40.0)",female,2069
190,"[0.0, 0.15)",left,2012,"[40.0, 45.0)",male,3340
191,"[0.0, 0.15)",left,2012,"[40.0, 45.0)",female,3765
192,"[0.0, 0.15)",left,2012,"[45.0, 50.0)",male,4197
193,"[0.0, 0.15)",left,2012,"[45.0, 50.0)",female,5029
194,"[0.0, 0.15)",left,2012,"[50.0, 55.0)",male,5818
195,"[0.0, 0.15)",left,2012,"[50.0, 55.0)",female,8678
196,"[0.0, 0.15)",left,2012,"[55.0, 60.0)",male,4547
197,"[0.0, 0.15)",left,2012,"[55.0, 60.0)",female,6787
198,"[0.0, 0.15)",left,2012,"[60.0, 65.0)",male,5780
199,"[0.0, 0.15)",left,2012,"[60.0, 65.0)",female,9665
200,"[0.0, 0.15)",left,2012,"[65.0, 70.0)",male,2901
201,"[0.0, 0.15)",left,2012,"[65.0, 70.0)",female,4424
202,"[0.0, 0.15)",left,2012,"[70.0, 75.0)",male,8234
203,"[0.0, 0.15)",left,2012,"[70.0, 75.0)",female,13645
204,"[0.0, 0.15)",left,2012,"[75.0, 80.0)",male,4495
205,"[0.0, 0.15)",left,2012,"[75.0, 80.0)",female,7953
206,"[0.0, 0.15)",left,2012,"[80.0, 85.0)",male,3125
207,"[0.0, 0.15)",left,2012,"[80.0, 85.0)",female,6522
208,"[0.0, 0.15)",left,2012,"[85.0, inf)",male,1200
209,"[0.0, 0.15)",left,2012,"[85.0, inf)",female,3352
210,"[0.0, 0.15)",right,2011,"[0.0, 20.0)",male,106
211,"[0.0, 0.15)",right,2011,"[0.0, 20.0)",female,167
212,"[0.0, 0.15)",right,2011,"[20.0, 25.0)",male,880
213,"[0.0, 0.15)",right,2011,"[20.0, 25.0)",female,2410
214,"[0.0, 0.15)",right,2011,"[25.0, 30.0)",male,4362
215,"[0.0, 0.15)",right,2011,"[25.0, 30.0)",female,5102
216,"[0.0, 0.15)",right,2011,"[30.0, 35.0)",male,6273
217,"[0.0, 0.15)",right,2011,"[30.0, 35.0)",female,3429
218,"[0.0, 0.15)",right,2011,"[35.0, 40.0)",male,5510
219,"[0.0, 0.15)",right,2011,"[35.0, 40.0)",female,2205
220,"[0.0, 0.15)",right,2011,"[40.0, 45.0)",male,4767
221,"[0.0, 0.15)",right,2011,"[40.0, 45.0)",female,4260
222,"[0.0, 0.15)",right,2011,"[45.0, 50.0)",male,5783
223,"[0.0, 0.15)",right,2011,"[45.0, 50.0)",female,5379
224,"[0.0, 0.15)",right,2011,"[50.0, 55.0)",male,7522
225,"[0.0, 0.15)",right,2011,"[50.0, 55.0)",female,9767
226,"[0.0, 0.15)",right,2011,"[55.0, 60.0)",male,5681
227,"[0.0, 0.15)",right,2011,"[55.0, 60.0)",female,7482
228,"[0.0, 0.15)",right,2011,"[60.0, 65.0)",male,6036
229,"[0.0, 0.15)",right,2011,"[60.0, 65.0)",female,10355
